transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,merchant,location,is_fraud
TXN_00000001,ACC_000261,2024-01-01 00:00:00,출금,9465.87074669863,834316.6323915782,,서울,False
TXN_00000002,ACC_000110,2024-01-01 01:00:00,온라인결제,48149.536081237944,588064.1702818194,가맹점_117,광주,False
TXN_00000003,ACC_000101,2024-01-01 02:00:00,온라인결제,31748.376368950045,263630.4079578163,가맹점_073,온라인,False
TXN_00000004,ACC_000403,2024-01-01 03:00:00,출금,34092.09880245845,729005.6867601363,,인천,False
TXN_00000005,ACC_000206,2024-01-01 04:00:00,온라인결제,135113.87493233354,927160.1297683835,,광주,False
TXN_00000006,ACC_000446,2024-01-01 05:00:00,온라인결제,142874.43541400926,482997.3100976338,,대구,False
TXN_00000007,ACC_000467,2024-01-01 06:00:00,입금,61565.279349270495,785367.2445368351,가맹점_022,인천,False
TXN_00000008,ACC_000145,2024-01-01 07:00:00,카드결제,39583.63297605544,129181.05481074782,가맹점_152,광주,False
TXN_00000009,ACC_000447,2024-01-01 08:00:00,카드결제,48663.20873825786,263343.49711533467,가맹점_035,인천,False
TXN_00000010,ACC_000182,2024-01-01 09:00:00,온라인결제,273781.4392334803,489695.64944281144,,광주,False
TXN_00000011,ACC_000475,2024-01-01 10:00:00,온라인결제,110660.64021525155,291498.1293326828,가맹점_117,서울,False
TXN_00000012,ACC_000013,2024-01-01 11:00:00,카드결제,43361.75317237258,835675.2891933941,가맹점_171,인천,False
TXN_00000013,ACC_000288,2024-01-01 12:00:00,입금,54783.45462319054,949264.8012132054,,인천,False
TXN_00000014,ACC_000369,2024-01-01 13:00:00,이체,12222.377221959267,536926.2110549973,,대구,False
TXN_00000015,ACC_000182,2024-01-01 14:00:00,카드결제,29281.46436807793,951319.5156431295,,인천,False
TXN_00000016,ACC_000498,2024-01-01 15:00:00,온라인결제,65835.70644297505,919455.9590840538,가맹점_068,대구,False
TXN_00000017,ACC_000292,2024-01-01 16:00:00,온라인결제,65705.64906458589,777141.0326406859,가맹점_023,대구,False
TXN_00000018,ACC_000104,2024-01-01 17:00:00,출금,272826.1913987384,992905.0011694444,,부산,False
TXN_00000019,ACC_000223,2024-01-01 18:00:00,출금,55613.876894779205,510116.9437935543,가맹점_181,인천,False
TXN_00000020,ACC_000342,2024-01-01 19:00:00,입금,54142.80343142037,900909.1943540213,,인천,False
TXN_00000021,ACC_000224,2024-01-01 20:00:00,출금,16620.532930149217,774571.5868839143,,인천,False
TXN_00000022,ACC_000198,2024-01-01 21:00:00,이체,7241.02206921071,76491.09955118394,가맹점_121,대구,False
TXN_00000023,ACC_000487,2024-01-01 22:00:00,온라인결제,62706.026506806746,694768.1527704463,,부산,False
TXN_00000024,ACC_000104,2024-01-01 23:00:00,온라인결제,25850.64367514575,593715.7278952368,,광주,False
TXN_00000025,ACC_000062,2024-01-02 00:00:00,이체,108848.2474991634,925607.0881750932,,대구,False
TXN_00000026,ACC_000241,2024-01-02 01:00:00,이체,14390.988738974082,200244.64277693155,,서울,False
TXN_00000027,ACC_000329,2024-01-02 02:00:00,입금,75426.15621769596,457482.2067991762,,광주,False
TXN_00000028,ACC_000367,2024-01-02 03:00:00,이체,177859.14344205672,814955.7917314958,,광주,False
TXN_00000029,ACC_000454,2024-01-02 04:00:00,온라인결제,257698.03684056463,875574.389505812,,인천,True
TXN_00000030,ACC_000396,2024-01-02 05:00:00,출금,16941.76445059134,18695.52678297237,가맹점_115,대구,False
TXN_00000031,ACC_000078,2024-01-02 06:00:00,이체,9956.584816193035,913155.0612127556,,온라인,False
TXN_00000032,ACC_000376,2024-01-02 07:00:00,출금,2191.563236047355,409575.9076959728,,대구,False
TXN_00000033,ACC_000453,2024-01-02 08:00:00,카드결제,3952.1333700474192,385886.61211296817,,온라인,False
TXN_00000034,ACC_000155,2024-01-02 09:00:00,카드결제,71239.27548230786,911406.5863257638,가맹점_193,대구,False
TXN_00000035,ACC_000091,2024-01-02 10:00:00,입금,42581.56813129732,87990.55737380512,,인천,False
TXN_00000036,ACC_000142,2024-01-02 11:00:00,이체,75416.62985667272,356966.9391877962,가맹점_157,서울,False
TXN_00000037,ACC_000121,2024-01-02 12:00:00,출금,28729.607563739868,408302.2406387389,가맹점_173,대구,False
