timestamp,user_id,session_id,action,page_url,device,browser,ip_address,duration_seconds,referrer
2024-01-01 00:00:00,629,sess_001146,review,/page/16,mobile,Chrome,139.86.144.135,23.050397401572262,
2024-01-01 00:01:00,618,sess_000451,add_to_cart,/page/67,tablet,Safari,122.225.252.41,113.83092990014607,direct
2024-01-01 00:02:00,948,sess_000571,review,/page/56,desktop,Edge,1.68.244.123,10.817744714590841,
2024-01-01 00:03:00,339,sess_000029,view_product,/page/68,mobile,Safari,150.143.103.80,4.35517500107975,facebook.com
2024-01-01 00:04:00,684,sess_001495,add_to_cart,/page/31,desktop,Chrome,76.18.141.195,30.49095858820654,google.com
2024-01-01 00:05:00,887,sess_000030,purchase,/page/68,mobile,Edge,227.117.46.179,17.47071525093187,
2024-01-01 00:06:00,451,sess_001253,view_product,/page/53,desktop,Firefox,2.180.180.192,42.716531753141425,direct
2024-01-01 00:07:00,803,sess_001293,logout,/page/70,mobile,Safari,174.30.240.132,61.87373127126782,facebook.com
2024-01-01 00:08:00,799,sess_001338,add_to_cart,/page/80,desktop,Firefox,96.207.52.182,1.5915525563719508,google.com
2024-01-01 00:09:00,954,sess_001264,search,/page/13,desktop,Edge,149.160.215.253,41.42516817384324,facebook.com
2024-01-01 00:10:00,100,sess_000003,search,/page/37,desktop,Chrome,228.215.70.1,2.751354568907274,google.com
2024-01-01 00:11:00,429,sess_001640,review,/page/27,mobile,Safari,76.167.217.110,75.02870392312603,
2024-01-01 00:12:00,727,sess_000664,login,/page/33,tablet,Edge,243.122.201.58,31.711395543946235,
2024-01-01 00:13:00,588,sess_000486,review,/page/18,desktop,Edge,46.148.127.67,59.6698783135478,direct
2024-01-01 00:14:00,310,sess_001894,review,/page/31,tablet,Safari,216.1.122.172,23.9200876485731,direct
2024-01-01 00:15:00,966,sess_000134,review,/page/80,mobile,Chrome,77.4.63.20,1.0615122718972407,facebook.com
2024-01-01 00:16:00,774,sess_001863,purchase,/page/75,mobile,Edge,158.16.197.217,62.81544006297508,facebook.com
2024-01-01 00:17:00,921,sess_000420,review,/page/8,mobile,Safari,93.247.49.181,12.835123483411886,naver.com
2024-01-01 00:18:00,281,sess_001941,view_product,/page/44,mobile,Firefox,160.206.124.24,20.984677670843748,direct
2024-01-01 00:19:00,984,sess_001173,add_to_cart,/page/51,tablet,Safari,145.162.200.189,14.810133690422099,naver.com
2024-01-01 00:20:00,347,sess_001640,login,/page/99,mobile,Firefox,135.36.210.139,46.480867279809594,google.com
2024-01-01 00:21:00,86,sess_001955,add_to_cart,/page/73,tablet,Safari,30.61.101.17,64.87189233941078,
2024-01-01 00:22:00,893,sess_000556,search,/page/62,tablet,Firefox,161.26.79.151,89.12873525849211,direct
2024-01-01 00:23:00,97,sess_000626,logout,/page/35,mobile,Edge,133.180.7.119,34.71494972982305,naver.com
