date,symbol,open,high,low,close,volume,adj_close
2023-01-01,AAPL,127.10448132318857,128.37988966822343,122.08916824875637,126.60080419753157,8061393,127.61906507142886
2023-01-02,AAPL,124.4277050004501,128.57275480619475,123.15746532657323,124.22512744370488,3553389,125.17571209107274
2023-01-03,AAPL,131.82492914092407,132.24722665589215,129.08495626110397,129.40630143966249,3721714,129.540392703966
2023-01-04,AAPL,135.43265285785662,136.50948712694662,131.94567515454116,133.06399705292085,8895780,133.11278040869394
2023-01-05,AAPL,138.5731822636535,140.5613109082361,134.52706401215303,137.76009585114033,9929698,138.63472822637146
2023-01-06,AAPL,136.0089363058123,141.2544217958191,132.147554587632,137.62496892069956,4885665,137.6552375836634
2023-01-07,AAPL,134.12129714227385,140.4240414526985,129.81062250884438,136.4177612604096,6352499,135.23844958432042
2023-01-08,AAPL,143.22298695240025,142.9086501091169,140.21156694691595,140.92408588542676,1297834,141.87814906444962
2023-01-09,AAPL,142.56173948747028,142.2320191663653,138.42589073636077,141.3051625447166,2621348,140.46377725400586
2023-01-10,AAPL,137.39665733711396,143.57766782072324,131.69802819905377,138.44941434888125,4322287,139.34831508132746
2023-01-11,AAPL,137.17479020048506,140.14609882387714,133.6608859242673,135.84371093611983,8334927,134.86920883471603
2023-01-12,AAPL,137.17732286183167,138.67972519076915,134.75006409499105,135.09812536984953,6576640,133.7934073500234
2023-01-13,AAPL,136.2487376493975,141.62676681815205,133.18821328021812,135.17372490719737,8406605,136.23465626680678
2023-01-14,AAPL,133.45817204658638,140.33149748768517,131.11222531663324,135.52912644444228,4198566,135.2219213722059
2023-01-15,AAPL,137.2227388574151,141.7938268879142,131.06336200398982,135.16703412581475,3259504,135.19313330200737
2023-01-16,AAPL,142.85635534712108,141.94823905051365,138.4921205251359,141.62694824680074,2752683,140.2558455425344
2023-01-17,AAPL,139.8836851926866,141.52905000900134,135.32400714234598,137.93580724392774,7561407,136.9874713850268
2023-01-18,AAPL,139.30804284523634,144.60660613400276,139.49862161372945,139.9295624661026,7303658,140.61180564395758
2023-01-19,AAPL,139.2382859782291,142.47506022141573,134.7607109643571,138.73329700417952,1230721,139.16156487785028
2023-01-20,AAPL,140.82831535344474,145.49316577582917,134.19444763468118,138.76441352595597,9931358,139.68044008191544
2023-01-21,AAPL,142.66876518290542,146.19620700080387,134.92432665090146,141.51332386996168,9902230,142.74557168736797
2023-01-22,AAPL,138.5905038751167,138.5595724468196,130.85150821199065,136.6091830730873,9923820,136.21528518920397
2023-01-23,AAPL,135.13941160021,140.64441826963986,129.88846694990573,134.1615010311562,9326492,135.22839087496078
2023-01-24,AAPL,131.4615981403306,140.31755508211063,131.6907620025038,133.93702365679016,2215322,132.7026515697764
2023-01-25,AAPL,138.10947378909677,138.36383406531132,131.61555455852795,138.02545605827487,3085503,137.56028894160812
2023-01-26,AAPL,144.82772625562956,148.07369738305889,139.8175742143194,142.22413441839333,2932527,143.35481593828942
2023-01-27,AAPL,146.04546468649477,151.02367202570164,145.84653510287183,145.99962038102566,7772282,144.72423876780408
2023-01-28,AAPL,141.39240808893186,144.08520643945792,134.9543998261553,139.74094425387392,4426645,138.45574055720525
2023-01-29,AAPL,135.12124577361533,140.05056392049278,131.79193635630176,136.9467704988598,6023722,136.80273386884724
2023-01-30,AAPL,134.9907783623005,135.2557025314941,134.13854043556938,134.32113079508954,9052749,133.9589025843307
2023-01-31,AAPL,134.19515855996406,135.55892176439195,128.3988420469987,134.30706671392625,9296287,134.57750184422554
2023-02-01,AAPL,131.86070772054566,133.52213406670006,128.06958330659998,129.46388261824288,4432331,130.70213647613258
2023-02-02,AAPL,132.28366266869548,133.5137983681883,127.1524631772212,132.4361054680335,5731062,133.5265393436497
2023-02-03,AAPL,127.8352256839332,132.16213815502093,125.63080805256199,127.28596310912063,8152620,126.58188670197679
2023-02-04,AAPL,129.05173728966938,134.59729184509595,124.99738950903667,130.04177025416524,3718123,130.67608317426902
2023-02-05,AAPL,132.2960083441931,134.3887826027378,131.12524112572063,132.436720411018,7017695,132.45283389579515
2023-02-06,AAPL,129.81103562212812,129.92929374063624,128.54135186982097,129.67042192245412,6322486,129.27270652090274
2023-02-07,AAPL,132.10863015307962,138.80435168826003,127.72820341732883,133.07285599697408,2122939,134.28152502178577
2023-02-08,AAPL,134.17543776673932,134.26828444065254,125.75303936580109,132.3191029838065,7816101,131.74036693622125
2023-02-09,AAPL,132.92450227948228,137.2118960156867,124.79973793646727,130.88291411029837,7257777,129.6588147303178
2023-02-10,AAPL,127.77163043895872,135.40349135663052,127.6451424907585,129.9105914599589,4063945,130.32939956240168
2023-02-11,AAPL,130.2196809835375,130.05154861135185,127.96026609908337,129.16832772593872,6069061,130.1734508530644
